id,name,level,time,evaluation
64,O Salão do Clube,5,0.05378,CORRECT
65,Série Fatorial,1,0.002093,WRONG_ANSWER
66,Investimento,1,0.001966,CORRECT
67,Interior da área,1,0.002929,WRONG_ANSWER
68,Frigorífico,2,0.001936,CORRECT
69,Regressão Linear,3,0.001898,CORRECT
70,Operação com Fatoriais,3,0.002095,WRONG_ANSWER
71,Controle de estoque,2,0.00206,WRONG_ANSWER
72,Inverso,1,0.002077,CORRECT
73,Características Físicas,5,0.003689,CORRECT
74,Iguais a n,2,0.002322,CORRECT
75,Reserva de passagens,3,0.001481,CORRECT
76,Correção de Provas,4,0.002124,CORRECT
77,Ordenação Ingênua,4,0.004341,CORRECT
78,Contar caracteres,1,0.001791,CORRECT
79,Multiplicação da Diagonal de uma Matriz,2,0.001558,CORRECT
80,Fábrica de motores,8,0.002084,CORRECT
84,Tráfego,3,0.002233,PRESENTATION_ERROR
85,Adivinhe,3,0.003607,CORRECT
86,Ordenação de DNA,7,0.001992,CORRECT
87,Clones,4,0.001992,CORRECT
90,TeX,5,0.002397,CORRECT
92,Reverso e soma,3,0.001616,WRONG_ANSWER
93,Gato no Chapéu,7,0.002022,CORRECT
94,Análise Criptográfica,6,0.001886,CORRECT
95,Materiais para ambrósio,6,0.002346,CORRECT
98,Macarronada,3,0.002244,WRONG_ANSWER
99,Incendio,3,0.001696,CORRECT
100,Avaliador de Jogo da Velha,3,0.001621,CORRECT
101,Alinhados,3,0.002014,CORRECT
102,Cofre automático,3,0.002365,CORRECT
103,Jolly Jumpers,3,0.001966,CORRECT
104,Forma canônica,6,0.001736,CORRECT
105,Crypt kicker,8,0.001619,CORRECT
106,Fibonacci,4,0.001914,CORRECT
107,Inverte digitos,4,0.002045,CORRECT
108,Histograma 02,4,0.002425,WRONG_ANSWER
109,Histograma 03,6,0.001838,PRESENTATION_ERROR
110,Histograma 04,6,0.002292,PRESENTATION_ERROR
112,Histograma 05,5,0.00213,WRONG_ANSWER
123,Mega Damas,8,0.130206,CORRECT
124,Campo Minado,5,0.001922,CORRECT
126,Árvore Genealógica,6,0.002292,CORRECT
129,Guerra nas estrelas,10,0.012558,CORRECT
130,Inversão de pontos,4,0.001674,WRONG_ANSWER
131,Colar,7,0.001856,CORRECT
132,Robolândia,8,0.01253,CORRECT
133,Intercâmbio,4,0.195364,CORRECT
134,Botas perdidas,3,0.009433,CORRECT
135,Guarda costeira,3,0.001953,CORRECT
136,Ácido Ribonucléico Alienígena,10,0.001737,CORRECT
137,Desvio de Rua,9,0.122477,CORRECT
138,Estacionamento,8,0.031294,CORRECT
140,Incidente em Atlântida,10,-1.0,COMPILATION_ERROR
141,Fórmula 1,6,0.004734,CORRECT
142,Plágio Musical,10,0.047054,CORRECT
143,Ir e Vir,9,0.023782,CORRECT
144,Álbum,4,0.002232,CORRECT
145,Demora na fila do banco,5,0.002485,CORRECT
146,Velocidade Máxima,8,0.002781,CORRECT
147,Soma das casas,3,0.011727,CORRECT
148,Buracos no texto,3,0.002043,WRONG_ANSWER
149,Infixo para pós-fixo,6,0.00167,CORRECT
150,Ache o P1 dessa árvore,6,0.001836,CORRECT
151,Sim City,8,0.001812,CORRECT
152,Brincando com Arrays,4,0.005983,CORRECT
153,Pesquisa de intenção de voto,2,0.004984,CORRECT
154,Auto-estrada,2,0.011731,CORRECT
155,Pão a metro,4,0.002923,CORRECT
156,Repositório,5,0.00316,CORRECT
157,Sacoleiro,9,0.002333,CORRECT
159,Sociedade Brasileira das Cores,5,0.005963,CORRECT
160,Gincana,4,0.002933,CORRECT
161,Palíndromo,3,0.002989,CORRECT
162,Hotel da Senhora Ambrosina,4,0.002468,CORRECT
163,Pastas da Floripes,4,0.009112,CORRECT
164,Barra de chocolate,3,0.00266,CORRECT
165,Quadrado Mágico,3,0.002235,CORRECT
166,Algarismo da casa das unidades,2,0.002045,CORRECT
167,Eleições em Ambrolândia,3,0.002335,CORRECT
168,Pastelaria da Ambrosina,4,0.002789,CORRECT
169,Tamanho de uma frase,1,0.00257,CORRECT
170,Produto dos primos,4,0.002804,CORRECT
171,Reduzindo Mapas,8,0.019606,CORRECT
172,Simulador,10,0.030128,CORRECT
173,Cadeiras do auditório,8,0.002113,CORRECT
174,Conta de Água,2,0.002092,CORRECT
175,Pedágio,4,0.002239,CORRECT
176,Times,5,0.012077,CORRECT
178,Cometa,3,0.002054,CORRECT
179,Batalha Naval,7,0.002699,CORRECT
180,Elevador,3,0.002417,CORRECT
181,Reunião,8,0.002928,CORRECT
182,Pneu,1,0.002172,CORRECT
183,Garçom,3,0.001948,CORRECT
184,Sedex,2,0.002014,CORRECT
185,Marciano,3,0.002163,CORRECT
186,Fusão,5,0.01205,CORRECT
187,Lista de chamada,5,0.002284,CORRECT
188,Dança Indígena,7,0.002896,CORRECT
189,Floresta,7,0.003282,CORRECT
190,Altas aventuras,9,0.002608,CORRECT
191,Tradutor alienígena,6,0.048638,CORRECT
192,Matrizes do Tutu,8,0.002928,CORRECT
193,Telescópio,5,0.003054,CORRECT
194,O mar não está pra peixe,6,0.002526,CORRECT
195,Caça ao tesouro,7,0.003867,CORRECT
197,Matriz caracol,7,0.002263,WRONG_ANSWER
198,Escada,3,0.003948,CORRECT
199,Tacógrafo,3,0.002222,CORRECT
200,Dentista,4,0.00529,CORRECT
201,Corrida,4,0.00528,CORRECT
202,Progressões Aritméticas,4,0.012157,CORRECT
203,Pulo do Sapo,4,0.002231,CORRECT
204,Triângulos,3,0.00213,CORRECT
205,Desafio Cartográfico,7,0.024247,CORRECT
206,Transporte de Contêineres,2,0.002202,CORRECT
207,A corrida da escola,3,0.002213,CORRECT
208,Selos,3,0.002365,CORRECT
209,Expressões,7,0.003172,CORRECT
210,Escalonamento Ótimo,8,0.024625,CORRECT
211,Chuva,4,0.005484,PRESENTATION_ERROR
212,Carnaval,3,0.002253,CORRECT
213,Costa,5,0.005804,CORRECT
214,Guerra por Território,5,0.011809,CORRECT
215,Vice-Campeão,2,0.003907,CORRECT
216,Pista de Atletismo,2,0.003299,CORRECT
217,Consecutivos,3,0.003924,CORRECT
218,Colchão,3,0.010222,CORRECT
219,Tabuleiro Esburacado,5,0.002419,CORRECT
220,Frequência na aula,6,0.068114,CORRECT
221,Tarzan,7,0.002685,CORRECT
222,Campeonato,2,0.00486,CORRECT
223,Busca na internet,2,0.00253,CORRECT
224,Desafio do maior número,2,0.0022,CORRECT
225,Balé,4,0.010799,CORRECT
226,Soma dos Múltiplos,2,0.002376,CORRECT
227,Paciência em linha,7,0.002426,WRONG_ANSWER
228,Movendo Blocos,5,0.002286,CORRECT
229,Jogo da Vida,5,0.036074,WRONG_ANSWER
230,Os Colonos de Catam,7,0.002369,WRONG_ANSWER
231,Somando Árvores,7,0.002176,WRONG_ANSWER
232,Rotação,7,0.001881,CORRECT
233,Pontos de feno,9,0.002856,CORRECT
234,Resto entre números,3,0.002271,CORRECT
235,Arrays de pares e ímpares,4,0.002135,CORRECT
236,Contagem de dígitos,6,0.002008,CORRECT
237,Completando palavras no telefone,8,0.007189,RUNTIME_ERROR
238,Caminho no tabuleiro,9,0.002743,WRONG_ANSWER
239,Camisetas,5,0.002205,CORRECT
240,Bolhas e Baldes,6,0.023656,CORRECT
241,Onde está o Mármore?,5,0.027927,CORRECT
242,Hash Tables,7,0.00288,CORRECT
244,Contar um caracter na string,3,0.001647,CORRECT
245,Posição do caracter na string,4,0.001585,CORRECT
246,Substituição de caracteres em uma string,4,0.002311,CORRECT
247,Inverter uma string,3,0.0023,CORRECT
248,Última palavra de uma frase,4,0.001801,CORRECT
249,Concatenar palavras,3,0.001613,CORRECT
250,Índices de um caracter na string,5,0.001961,WRONG_ANSWER
251,Remover caracteres de uma string,5,0.002079,CORRECT
252,Contar uma substring na string,6,0.002058,WRONG_ANSWER
253,As duas strings são iguais?,1,0.002022,CORRECT
254,O dobro dos elementos,1,0.002048,CORRECT
255,"O dobro dos elementos, só que invertido!",3,0.002783,CORRECT
256,Intercalar um array,3,0.002151,CORRECT
257,Quantos dígitos existem na string?,1,0.002267,CORRECT
259,Ponteiros do relógio,4,0.002254,CORRECT
260,É um número primo?,4,0.008951,CORRECT
261,Conteúdo de Duas Listas Encadeadas,2,0.002046,CORRECT
262,Q3 - Quantos números são maiores ou menores que uma variação da média?,4,0.002329,CORRECT
263,Interseção entre listas,3,0.001671,CORRECT
264,Inverter uma Lista Encadeada em uma só passada,5,0.002324,CORRECT
265,Frequência de um texto em uma Lista Encadeada,5,0.001838,CORRECT
266,Ordenar Lista Encadeada em ordem crescente,3,0.001739,CORRECT
268,Ambrosio's Bus Company,3,0.001675,EMPTY_ANSWER
269,Meses do Ano por extenso,1,0.002208,CORRECT
270,Extremamente Básico,2,0.002223,CORRECT
271,Área do Círculo,2,0.002204,CORRECT
272,Produto Simples,4,0.002286,CORRECT
273,Média 1,2,0.001791,CORRECT
274,Média 2,2,0.002385,CORRECT
275,Passadas do Relógio,3,0.002175,CORRECT
276,Padrões de soma.,7,0.002263,WRONG_ANSWER
277,Subconjuntos de Soma Única,4,0.002342,CORRECT
278,Diferença,2,0.00232,CORRECT
279,Salário,2,0.002461,CORRECT
280,Salário com Bônus,4,0.002086,CORRECT
281,Permutador de Trem,4,0.002217,CORRECT
282,Joana e os numeros impares,4,0.002115,CORRECT
283,Saltando Primos,4,0.001861,CORRECT
284,Produto dos Digitos,6,0.002478,CORRECT
285,"Pares, Ímpares, Positivos e Negativos.",1,0.002274,CORRECT
286,Zerinho ou Um,3,0.002002,CORRECT
287,Garagem,5,0.00219,CORRECT
288,Apresentação do Trabalho,6,0.002176,CORRECT
289,Brinquedos do Parque,6,0.002251,CORRECT
290,Cálculo Simples,4,0.001814,CORRECT
291,Esfera,4,0.00302,CORRECT
292,Área,4,0.003158,CORRECT
293,O Maior,5,0.003126,CORRECT
294,Consumo,4,0.002365,CORRECT
295,Distância entre dois pontos,3,0.002083,CORRECT
296,Decisão dos Ministros,6,0.003307,WRONG_ANSWER
297,Anos Bissextos,3,0.002204,CORRECT
298,Estoque de Celular,3,0.001672,CORRECT
299,Penaltis,4,0.003189,CORRECT
300,Festival de Baloes,4,0.00233,CORRECT
301,Distribuicao de Mercadorias,5,0.002159,CORRECT
302,Distância,4,0.002338,CORRECT
303,Gasto de Combustível,3,0.002355,CORRECT
304,Cédulas,4,0.002102,CORRECT
305,Conversão de tempo,2,0.002041,CORRECT
306,Idade em Dias,2,0.001967,CORRECT
307,Notas e Moedas,4,0.002176,CORRECT
309,Estiagem,7,0.002477,CORRECT
310,Criptografia,7,0.003504,CORRECT
311,Teste de Seleção 1,3,0.001894,CORRECT
312,Intervalo,4,0.004338,CORRECT
313,Linha da Matriz,4,0.002033,CORRECT
314,Suprimento de Comida,2,0.002417,CORRECT
315,Nomes que produzem cores,7,0.002244,WRONG_ANSWER
316,Array Hash,4,0.003552,CORRECT
317,Teclado Quebrado,7,0.002197,CORRECT
318,Og,2,0.001905,CORRECT
319,Foco nas Fotografias,6,0.002159,CORRECT
320,Futebol,5,0.002089,CORRECT
321,Frutas,4,0.002482,CORRECT
322,Menor Valor e Posição,2,0.001582,CORRECT
323,Matriz Quadrada I,6,0.002069,PRESENTATION_ERROR
324,Idades,2,0.002265,CORRECT
325,Quadrado e Cubo,4,0.002292,CORRECT
326,Sequencia Lógica II,2,0.004478,CORRECT
327,Sequencia Lógica I,3,0.002389,CORRECT
328,Quadrante,1,0.002278,CORRECT
330,Sistema de matrícula,6,0.002199,CORRECT
331,Banco de Dados,3,0.002228,WRONG_ANSWER
332,Tudo em Maiusculo,4,0.002131,CORRECT
333,Letra Maiuscula,6,0.002187,WRONG_ANSWER
334,Excedendo,2,0.002117,CORRECT
337,Lua Cheia,4,0.002469,CORRECT
338,Imprima o número real formatado,2,0.002207,CORRECT
339,Números no meio da frase,1,0.001408,CORRECT
340,Copiando,4,0.002119,CORRECT
341,Preço dos Jogos,6,0.002125,CORRECT
342,Divisível por 3,6,0.002191,CORRECT
343,Romano dividido por 5,6,0.001547,CORRECT
344,Conversão real - fração,6,0.002488,CORRECT
345,Calculadora Diferente,4,0.002238,CORRECT
346,Coleta Seletiva,5,0.002153,CORRECT
347,Números triangulares,4,0.002473,CORRECT
348,Converta um número Romano para Arábico,6,0.002254,CORRECT
349,Quantidade de dias de um mês/ano,3,0.002152,CORRECT
350,Imprensadinho,6,0.002297,CORRECT
351,Somas sucessivas como multiplicação,3,0.002406,CORRECT
352,Calcular MDC de forma recursiva,5,0.002798,CORRECT
353,Índice de Massa Corpórea,2,0.002211,CORRECT
354,Sequência de inteiros pares (crescente) recursivo,4,0.002007,CORRECT
355,Sequência de inteiros pares (decrescente) recursivo,3,0.001632,CORRECT
356,Transformar Decimal para Binário (recursivo),4,0.002409,CORRECT
357,Entrada e prestações,2,0.001817,CORRECT
358,Prestação para amortização de financiamento,2,0.001593,CORRECT
359,Receita de Bolo,3,0.001994,CORRECT
360,Vestibular,6,0.001709,CORRECT
361,Números de Envelopes,3,0.002446,CORRECT
362,Copa do Mundo,5,-1.0,COMPILATION_ERROR
363,Overflow,3,0.002018,CORRECT
364,Tira-teima,3,0.001852,CORRECT
365,Tomadas,3,0.002142,CORRECT
366,Saldo do Vovô,5,0.001736,CORRECT
368,Aumento dos Trabalhadores,2,0.002208,CORRECT
369,Biblioteca Rio Tinto,2,0.001518,CORRECT
370,Férias na Europa,3,0.00231,CORRECT
371,Torneio de Futsal,3,0.002449,CORRECT
372,Pagamento Hora Extra,1,0.002163,CORRECT
373,Capital,3,0.0022,CORRECT
374,Bônus de Viagem,1,0.002978,CORRECT
375,Método de Leverrier,5,0.00188,PRESENTATION_ERROR
376,Conceito MEC,1,0.00204,CORRECT
377,Líder do Grupo da Copa,1,0.003737,CORRECT
378,Classificação no Mundial,2,0.002078,CORRECT
379,Treino de Ciclismo,2,0.002127,CORRECT
380,Escolhendo o passeio,2,0.001995,CORRECT
381,Livros na Mochila,2,0.001527,CORRECT
382,Monitorando A Glicose,2,0.001797,CORRECT
383,Média de 3 inteiros,3,0.002051,CORRECT
384,Reformando a sala,1,0.001471,CORRECT
385,Analisando o CRE,1,0.001671,CORRECT
386,Economia Diária,3,0.001489,CORRECT
387,Cartas,3,0.002406,CORRECT
388,Matriz escada,5,0.017516,CORRECT
389,Melhorando o Desempenho,3,0.002125,CORRECT
390,Método de Euler,5,0.002026,RUNTIME_ERROR
391,Método das Potências,6,0.002129,CORRECT
392,Pacote de Telefonia,3,0.002437,WRONG_ANSWER
393,Comprando Pregos,4,0.001507,CORRECT
394,Soma de Divisores,2,0.002341,CORRECT
395,Promoção de Cinema,1,0.001745,CORRECT
396,Abaixo a poluição,1,0.001608,CORRECT
397,Festa de Formatura,2,0.00435,CORRECT
398,Conta Múltiplos,1,0.001518,CORRECT
399,Hospedagem na Praia,1,0.001824,WRONG_ANSWER
400,Limite de Velocidade,2,0.002415,CORRECT
401,Soma dos Dígitos,3,0.002299,CORRECT
402,Estações do Ano,1,0.001862,CORRECT
404,Escola de Música,1,0.001752,CORRECT
405,Contando os Dígitos Pares,3,0.002094,CORRECT
406,Somando Positivos no Intervalo,2,0.001789,CORRECT
407,3n +1,4,0.00529,CORRECT
408,Display de LCD,7,0.002854,CORRECT
409,Série de Miguelito,2,0.002161,CORRECT
410,A melhor compra de ações,8,0.008178,CORRECT
411,Anagramas a partir de pilhas,7,0.052977,CORRECT
412,Feed de notícias,6,0.002114,CORRECT
413,Jogando Cartas Fora,7,0.002335,CORRECT
414,Fila do Recreio,5,0.002051,CORRECT
415,Balanceamento de Parênteses,6,0.001772,CORRECT
416,Conversor de bases genérico (nem tão genérico assim),6,0.001509,CORRECT
417,Quantos zeros tem no final de um número fatorial,5,0.002253,CORRECT
418,Todas as permutações,7,0.00359,CORRECT
419,Todos os subconjuntos,7,0.035229,CORRECT
420,Crypt Kicker II,8,0.002514,CORRECT
421,Divisão,8,0.162366,CORRECT
422,8 rainhas,8,0.002671,CORRECT
423,Jogo do Bicho,7,0.002651,CORRECT
424,Handebol,4,0.00383,CORRECT
425,Cai fora,6,0.001735,CORRECT
426,Palavras 2,9,0.004449,CORRECT
427,Países em Guerra,9,0.305661,CORRECT
428,Formatando endereço,3,0.001643,CORRECT
429,Soma Dois Números,1,0.0015,CORRECT
430,CD,8,0.001691,CORRECT
431,Palavras,3,-1.0,TIME_LIMIT_EXCEEDED
433,Pagamento IPVA,1,0.002025,CORRECT
434,Futura Formanda,1,0.004323,WRONG_ANSWER
435,Analisando processos,1,0.002154,CORRECT
436,Presentes na Empresa,2,0.00403,CORRECT
437,Distância de Hamming,8,0.005306,CORRECT
439,Vendendo Jogos Educativos,2,0.00195,CORRECT
440,Os suspeitos,7,0.017879,CORRECT
441,Guerra sazonal,7,0.002557,CORRECT
442,Comprando laranjas,1,0.002118,CORRECT
443,Lanche para os escoteiros,5,0.002531,CORRECT
444,Comprando medicamentos,5,0.002134,CORRECT
445,Alugando um veículo,1,0.001533,CORRECT
446,Escovas de dente,3,0.002155,CORRECT
447,Capacidade Estacionamento,3,0.00211,CORRECT
448,Quantos caminhos simples existem?,3,0.050054,CORRECT
449,Almoço na Cantina,1,0.002039,CORRECT
450,Roupa alugada,1,0.001819,WRONG_ANSWER
451,Garantia Estendida,1,0.004062,CORRECT
452,Editora Fronteira,1,0.002359,CORRECT
453,Sorveteria Tropical,1,0.002323,WRONG_ANSWER
454,Restaurante do Vladimir,1,0.001838,WRONG_ANSWER
455,Excesso de bagagem,1,0.00244,CORRECT
456,Viagem de Amigos,3,0.001639,CORRECT
457,Easy Jet,1,0.001982,CORRECT
458,TV por assinatura,2,0.002259,CORRECT
459,Idade Canina,1,0.002333,EMPTY_ANSWER
462,Rede de telecomunicações,8,0.062739,CORRECT
463,Vacinação,1,0.002242,CORRECT
464,Natal Solidário,5,0.001626,WRONG_ANSWER
465,Vaquinha para Valquíria,2,0.001933,CORRECT
466,Vai pra onde?,1,0.001812,CORRECT
467,Elevador seguro,2,0.001655,CORRECT
468,Descontos Black Friday,1,0.001578,CORRECT
469,Jogando dados,1,0.001883,CORRECT
470,Maior Primo,1,0.004107,CORRECT
471,"Pedra, Papel e Tesoura",1,0.001996,WRONG_ANSWER
472,Fraldas no Atacado,3,0.001879,CORRECT
473,Aprovados no Concurso,1,0.003233,CORRECT
474,Rotas de Entrega,8,0.026526,CORRECT
475,Seleção de nomes,7,0.001815,CORRECT
476,Banco dos Inimigos,5,0.002355,CORRECT
477,Escolhendo a Vocação,5,0.001711,CORRECT
478,Regeneração de Vida,7,0.002192,CORRECT
479,Colisão no Mapa,6,0.002067,WRONG_ANSWER
480,Faturamento do Salão,1,0.001968,CORRECT
481,Divisores de X,1,0.00241,CORRECT
482,Entregando correspondências,1,0.002277,CORRECT
483,Plebiscito,1,0.005525,CORRECT
484,Animais no Zoológico,1,0.001999,WRONG_ANSWER
485,Medindo as crianças,1,0.002027,CORRECT
486,Segundo Maior,1,0.00214,CORRECT
487,Revistas em ordem,1,0.002372,WRONG_ANSWER
488,Organizando a confraternização,1,0.001514,CORRECT
489,Dividindo as despesas,1,0.001754,CORRECT
490,Árvore de Natal,1,0.002137,CORRECT
491,Playlist de Verão,1,0.002159,CORRECT
492,Cápsulas de Café,1,0.001961,CORRECT
493,Clima Frio,1,0.002185,CORRECT
494,Troca de presentes,1,0.001874,CORRECT
495,Grampos,1,0.001784,CORRECT
496,Classificação de Hotéis,1,0.00216,CORRECT
497,Medindo a audiência,1,0.001782,CORRECT
498,Leitor Voraz,1,0.002979,CORRECT
499,Somando Múltiplos e Divisores,1,0.001758,CORRECT
500,Números Primos No Intervalo,1,0.001665,CORRECT
501,Plano de Saúde,1,0.002535,CORRECT
502,Agência de Publicidade,1,0.001595,WRONG_ANSWER
503,Lava-Jato,1,0.001998,WRONG_ANSWER
504,Soma de Fatoriais,1,0.001887,CORRECT
505,Rotacionar um array,6,0.067082,CORRECT
506,Passeios turísticos,1,0.002127,CORRECT
508,Corrigindo Provas,1,0.001387,CORRECT
509,Comparador de Números Inteiros,1,0.001524,CORRECT
510,Ingresso no Cinema,1,0.001869,CORRECT
511,Critério do Seguro,1,0.001559,CORRECT
512,Decompondo cubos,6,0.00196,CORRECT
513,Quem sou eu?,4,0.004377,CORRECT
514,Trosegrem,7,0.040361,PRESENTATION_ERROR
515,Índice remissivo,6,0.025498,CORRECT
516,BST,7,0.024751,CORRECT
517,aMAZEing!,7,0.019306,CORRECT
518,aMAZEing! - Pt.2,7,0.034173,CORRECT
519,Diversão dinâmica,6,1.607655,CORRECT
520,BoB,6,0.016513,CORRECT
521,MaxMin,7,0.018341,CORRECT
522,A permutação,5,0.001911,CORRECT
523,Novo Teclado,4,0.002328,CORRECT
524,Quais os números que estão faltando?,1,0.002237,CORRECT
525,Onde estão meus genes?,3,0.002003,CORRECT
526,Some dois números grandes!!,7,0.001635,CORRECT
527,Insertion Sort,3,0.004876,WRONG_ANSWER
528,Pílula do Zé,3,0.001582,CORRECT
529,Zé de Tindera,3,0.001397,CORRECT
530,Piui-Piui,4,0.021592,CORRECT
531,Selection Sort,3,0.004368,WRONG_ANSWER
532,Caça-palavras,1,0.016397,CORRECT
533,Hashset,1,0.049125,WRONG_ANSWER
534,CPF do Zé,6,0.00165,CORRECT
535,Ampulheta de Caracteres,4,0.00231,CORRECT
538,Soma máxima,4,0.004774,CORRECT
540,Onde está o pivô?,1,0.118661,CORRECT
541,Extremos e meio,1,0.002325,CORRECT
545,Exercitando BSTs,1,0.021839,CORRECT
546,Árvore de Busca Binária,4,0.001905,CORRECT
547,Profundidade de um nó em uma árvore binária,5,0.001959,CORRECT
548,Pilhas com Listas,6,0.002216,CORRECT
549,Soma de custo mínimo,1,0.552935,CORRECT
550,Maior elemento pseudo aleatório,3,0.001975,WRONG_ANSWER
552,Algoritmo de Euclides,1,0.002588,CORRECT
553,Soma e multiplicação de número grande,4,1.350568,CORRECT
554,Pedrinhas,1,0.02005,CORRECT
555,Texto justificado,8,0.002501,CORRECT
556,Ciclos,1,0.019439,CORRECT
557,Multiplicação de Matrizes de Forma Ótima,9,0.002088,WRONG_ANSWER
558,Distância de edição,9,0.24476,CORRECT
559,Grande Promoção,9,0.024348,WRONG_ANSWER
560,Reposição de equipamentos,9,0.23759,WRONG_ANSWER
561,Vania e os livros,3,0.004417,CORRECT
562,Pizzaria,1,0.029281,CORRECT
563,Somas no array,1,0.022613,CORRECT
564,"Devagar, devagar, olhe o radar!!",1,0.001944,WRONG_ANSWER
565,Calcula Número de Algarismos,1,0.0018,WRONG_ANSWER
566,Par de pontos mais perto (closest pair of points),5,0.084084,CORRECT
567,"Crescei, transformai-vos e multiplicai-vos",1,0.034696,CORRECT
568,Ano Bissexto,3,0.002263,CORRECT
570,Descobrindo dígitos de um número,1,0.002275,CORRECT
571,Restaurante Universitário,1,0.001441,CORRECT
572,Matrix,1,0.001894,CORRECT
574,Calculadora de Imposto Totais,3,0.002268,CORRECT
575,Semi-aberto,1,0.131683,CORRECT
576,Colorindo em duas cores,7,0.001945,CORRECT
577,Heapsort,7,0.002753,CORRECT
578,Construir Heap Máxima,4,0.002142,CORRECT
579,Quicksort,6,0.001895,WRONG_ANSWER
580,Mania de Par,6,0.019394,CORRECT
581,Bolsa de Valores,6,0.009565,CORRECT
582,Jogo da Memória,5,0.044832,CORRECT
583,Empilhando Dominó,2,0.001931,CORRECT
584,Exercitando BSTs v2,6,0.133418,WRONG_ANSWER
585,Dona Minhoca,7,0.007683,RUNTIME_ERROR
588,Ecologia,9,0.687379,WRONG_ANSWER
590,Min-Med-Max,1,0.139165,CORRECT
592,A Loja Mágica,5,0.003045,CORRECT
593,Rodrigo e seus estagiários,4,0.062107,CORRECT
594,Reino dos Macacos,5,0.126802,CORRECT
595,Duas Extremidades,5,0.023904,CORRECT
596,Ambrósio e as Ilhas,5,0.114502,CORRECT
597,Embaralhando,5,0.001485,CORRECT
598,Embaralhando de novo,9,0.002162,CORRECT
599,Ambrósio e a escolha dos números,5,0.003638,CORRECT
600,Ambrósio e a diferença,5,0.006343,CORRECT
601,Rotterdam City Tours,7,0.045901,WRONG_ANSWER
602,Adega de Vinhos,7,0.002698,CORRECT
603,Orkut,8,0.002293,CORRECT
604,Pizza do vô Pepe,6,0.009163,CORRECT
605,Contar eficientemente uma substring na string,8,0.035111,CORRECT
606,No máximo duas vezes,6,0.002559,CORRECT
607,Mantenha-se energizado,10,0.139305,CORRECT
608,Cercado,1,0.033294,CORRECT
609,Grupos sanguíneos,10,0.001772,WRONG_ANSWER
610,Corte do bolo,10,0.045752,CORRECT
611,Mapa de altura,8,0.057505,WRONG_ANSWER
612,Não seja guloso (D as in Daedalus),7,0.00302,CORRECT
613,Expondo a corrupção,9,0.002895,CORRECT
614,Cercando os vegetais,10,0.11089,CORRECT
615,Taxas galáticas,10,0.107013,CORRECT
616,Identificando chás,2,0.008563,CORRECT
617,Só um pouco ordenado,9,0.490027,WRONG_ANSWER
