caso 0:
4 79
2 81
5 108
3 60
3 146
4 35
4 125
5 36
4 105
2 100
3 6
3 26
3 8
4 174
4 150
2 54
4 85
3 48
2 65
4 70
3 135
3 32
3 96
4 110
5 78
4 100
5 108
3 48
3 11
4 50
5 18
4 15
4 55
5 126
2 9
3 20
3 124
5 30
4 0
4 75
3 12
3 108
4 155
4 85
3 56
5 18
5 180
4 110
4 10
3 145
3 112
4 19
3 56
4 65
3 104
4 5
2 72
2 17
4 187
3 44
3 141
4 135
3 116
3 136
4 49
2 6
5 48
4 55
3 88
3 68
2 40
5 24
4 186
3 84
4 125
4 145
3 64
3 12
3 0
5 12
4 65
3 60
4 15
5 150
3 56
5 156
3 76
5 30
4 150
3 120
2 155
4 49
3 88
4 155
4 70
3 96
5 144
4 95
3 6
4 155
4 135
3 120
5 12
5 120
5 6
4 30
3 48
4 0
4 42
3 111
2 90
3 88
4 45
3 8
3 95
4 40
3 68
3 46
3 20
4 150
2 109
3 4
5 54
3 0
4 100
3 4
5 96
3 48
1 14
4 55
2 57
3 48
4 60
4 45
3 112
3 28
2 9
4 150
4 145
2 81
5 84
3 10
2 90
4 145
3 105
3 16
4 155
4 1
4 60
4 174
3 108
4 90
3 50
3 72
3 92
4 40
3 12
4 135
3 15
4 10
4 110
5 156
3 26
3 44
5 168
2 89
5 12
3 112
3 60
4 25
4 110
2 60
4 45
4 145
4 5
1 69
4 90
2 53
3 120
2 9
5 66
3 106
3 61
5 0
5 66
4 15
3 35
4 140
2 4
5 162
3 60
2 116
2 12
3 136
2 21
3 48
3 60
3 65
5 60
4 13
4 125
3 120
4 78
3 76
3 100
4 20
5 108
4 20
5 186
3 31
4 35
4 135
4 35
4 25
4 35
3 116
4 90
3 155
3 56
4 15
3 0
3 86
4 20
3 96
4 20
4 30
2 102
2 76
3 145
3 71
3 64
4 140
2 84
4 95
5 42
5 36
5 138
2 36
3 86
3 120
5 114
4 145
5 114
2 87
4 100
4 95
4 20
2 29
5 174
2 72
5 84
5 168
2 36
3 85
4 95
4 120
3 20
3 80
4 55
4 20
5 114
5 72
4 31
3 112
4 50
3 108
3 90
5 72
4 150
4 132
4 35
4 150
4 90
4 30
3 92
4 65
3 131
3 21
4 80
3 5
4 25
4 10
4 156
3 46
5 108
2 17
4 115
5 168
4 135
3 108
3 116
4 42
3 32
5 126
5 168
4 25
3 96
5 90
4 60
3 124
4 96
3 116
3 91
4 90
1 62
4 85
3 76
5 138
4 55
4 70
4 110
3 28
4 100
3 28
3 20
3 0
5 90
5 36
3 104
4 25
4 5
4 175
3 100
3 32
5 126
3 12
3 88
3 16
4 80
2 15
2 42
3 56
4 25
4 15
3 35
3 52
4 60
4 80
2 25
3 56
4 30
5 24
4 91
4 90
4 110
3 124
3 112
4 151
5 60
5 36
3 0
5 18
3 24
4 140
3 150
4 145
5 162
4 15
3 100
2 93
2 1
3 112
4 135
2 97
4 43
4 60
5 126
3 8
4 65
4 45
5 156
4 20
4 5
4 50
4 20
2 93
3 16
3 112
2 15
3 60
3 96
2 44
5 84
4 67
3 36
2 15
4 0
5 78
3 0
4 75
3 71
5 54
4 145
3 40
3 85
3 86
4 135
4 67
3 125
4 0
3 124
2 68
5 60
2 120
2 12
3 111
5 24
3 44
5 30
3 50
4 105
4 85
3 8
4 174
3 48
3 92
5 36
4 60
4 100
3 24
4 120
3 90
3 72
4 60
4 10
3 121
3 0
5 24
3 20
4 157
2 8
4 30
5 84
4 130
5 12
5 84
5 108
5 84
3 72
4 135
4 110
4 65
3 116
3 60
4 50
4 100
3 40
4 1
3 35
2 22
4 150
4 130
5 120
5 186
3 24
4 85
3 111
3 31
3 111
4 120
5 96
2 120
4 105
4 109
4 105
3 108
4 10
4 150
5 0
3 56
3 0
5 174
3 100
3 55
4 140
2 78
4 135
3 120
2 97
3 80
3 24
4 168
4 95
5 96
4 50
5 174
4 60
4 110
4 30
3 96
4 30
3 84
5 96
3 24
2 36
4 65
5 36
2 36
4 135
4 133
4 55
4 140
4 40
5 42
4 55
4 20
2 116
3 36
3 182
2 0
3 146
3 32
5 150
3 52
1 24
4 95
2 78
4 121
4 50
4 130
4 145
5 18
5 6
4 95
4 55
4 65
4 60
4 140
4 10
4 45
4 175
3 70
4 5
5 144
4 50
4 20
4 150
4 65
3 124
4 60
4 135
4 45
4 150
5 120
3 12
4 150
5 150
3 40
4 24
4 80
2 54
3 70
4 0
4 125
4 120
4 135
3 28
3 32
4 95
3 110
3 108
4 30
4 54
4 15
4 125
4 85
4 15
4 0
2 33
4 90
4 140
4 125
4 49
3 91
2 51
5 24
3 4
5 180
4 55
5 186
3 158
3 112
3 28
3 106
3 88
4 125
3 32
4 150
2 37
3 32
2 61
4 35
5 150
3 56
4 155
2 20
2 48
4 135
4 120
4 181
3 72
4 67
4 30
3 48
3 104
3 108
4 174
3 110
4 75
1 42
3 150
3 80
4 180
3 21
3 4
3 96
4 96
3 40
4 65
4 45
3 116
3 40
4 135
3 5
4 20
4 45
3 40
5 6
5 174
3 120
4 40
4 120
3 88
4 95
4 40
4 145
4 45
5 144
3 72
2 30
3 0
4 125
4 105
3 30
2 73
4 120
4 30
3 40
4 19
3 72
5 138
2 75
2 108
2 69
4 15
4 145
4 145
4 5
5 150
3 68
4 65
4 120
5 162
4 80
3 15
4 135
3 41
5 0
2 72
4 150
5 42
5 180
3 95
3 101
4 95
4 90
3 5
2 84

caso 1:
3 44
4 15
4 55
2 63
5 18
2 87
3 81
4 150
4 85
3 44
4 66
5 174
5 162
3 16
4 145
4 90
4 155
4 45
3 116
3 68
4 115
4 125
3 32
4 121
5 0
3 84
3 68
4 135
3 28
5 150
3 96
3 104
3 44
3 52
3 80
3 8
2 120
4 125
4 145
3 72
5 138
4 15
3 44
4 125
3 20
3 108
2 75
3 31
5 42
2 66
3 136
4 135
4 150
3 124
3 112
4 75
4 85
3 8
2 113
4 130
5 18
4 155
5 30
3 100
5 36
3 106
3 20
2 24
2 77
3 44
3 12
2 21
3 60
3 80
4 25
3 116
3 84
3 84
3 60
2 63
3 32
4 65
3 72
2 78
3 24
4 95
3 4
4 0
4 5
3 136
3 4
4 130
5 144
4 75
2 53
5 6
4 65
5 144
4 90
4 135
3 4
4 110
4 155
4 55
3 76
3 68
4 75
4 80
4 120
3 4
4 75
4 110
3 100
4 50
5 96
3 96
4 105
4 20
4 55
3 28
4 90
3 64
4 35
2 57
3 44
4 85
4 125
5 138
3 72
4 20
3 116
3 84
3 40
4 140
2 87
3 32
2 39
2 75
3 76
4 85
4 150
4 125
4 20
2 75
4 20
4 110
4 15
4 65
3 44
4 135
4 90
5 126
3 140
4 60
4 105
3 28
5 120
3 12
4 135
3 20
4 45
3 52
4 30
4 20
3 88
4 30
4 145
4 20
4 65
3 44
4 50
2 18
3 60
4 80
4 110
3 84
3 92
3 40
3 0
3 45
3 156
3 28
5 186
3 32
3 48
3 81
2 12
4 25
3 5
4 60
3 76
3 16
2 51
4 5
1 88
3 52
5 60
3 145
5 54
4 20
4 125
3 12
4 140
3 85
2 77
3 88
4 114
2 78
4 150
3 48
4 50
2 87
3 31
3 124
3 8
5 120
4 145
5 156
2 15
2 69
3 76
3 104
3 56
3 76
3 16
4 5
4 135
1 32
4 85
3 92
3 76
2 60
5 30
5 162
2 8
3 52
5 120
4 80
3 15
3 125
2 87
4 151
4 40
3 61
4 145
4 55
3 0
3 96
4 155
2 42
3 16
3 88
3 108
4 65
5 66
4 145
4 135
3 8
4 10
3 108
3 92
2 85
3 20
4 65
4 30
4 30
3 84
3 88
5 72
4 145
4 35
4 130
3 16
3 52
5 18
4 75
3 60
3 80
5 168
3 100
3 92
4 135
3 40
4 100
3 88
4 155
3 15
3 116
5 102
4 100
4 120
4 5
3 40
3 76
4 110
5 156
3 112
2 101
4 115
5 174
3 4
2 54
4 114
5 30
4 80
3 32
4 140
2 12
3 40
4 125
1 51
4 105
3 108
5 180
3 81
3 80
5 78
2 121
2 45
3 44
4 45
4 15
4 70
4 40
3 24
4 110
4 40
3 60
4 110
3 145
3 28
4 25
3 101
4 95
3 52
3 96
3 36
3 108
5 66
2 44
3 80
4 150
4 110
4 20
3 56
3 108
5 126
4 120
3 60
4 100
3 68
4 90
2 108
3 55
4 120
2 12
4 105
3 20
3 112
5 90
3 44
4 20
4 135
4 45
4 0
4 130
3 72
5 156
3 96
3 100
3 108
4 15
2 3
3 112
4 30
2 57
5 84
3 96
5 6
3 68
3 88
3 80
4 115
3 112
3 88
4 90
2 27
4 79
3 64
5 120
1 92
3 36
4 15
4 60
4 150
3 76
4 80
5 0
4 70
3 0
4 110
3 24
4 130
3 120
3 92
3 0
5 96
3 100
4 90
3 40
3 1
4 80
3 136
4 135
3 80
3 96
3 96
5 18
3 48
3 120
4 55
5 84
5 78
3 92
4 90
4 95
5 90
4 95
4 90
3 120
4 40
4 110
3 16
2 45
3 68
4 130
3 20
4 130
4 85
5 162
3 8
4 48
4 145
4 155
4 130
3 10
5 102
4 30
5 186
4 155
4 45
1 32
3 76
3 68
4 80
4 25
2 36
3 32
3 4
4 85
4 65
4 135
4 65
3 56
5 150
3 55
5 72
4 15
4 35
3 80
4 90
2 18
4 5
3 80
5 60
5 42
3 4
4 130
4 5
3 0
4 150
5 156
3 20
3 52
3 76
3 0
4 115
4 90
3 28
3 84
4 105
3 76
4 145
3 108
4 105
3 124
4 55
5 66
2 36
3 24
3 36
4 30
4 40
4 135
4 35
4 100
2 100
2 4
4 70
3 116
3 92
3 4
4 45
4 100
4 35
3 32
4 70
5 144
4 75
3 48
4 100
5 108
4 20
3 51
3 70
2 96
3 60
4 115
3 131
4 130
2 93
4 115
5 60
3 96
4 150
2 27
3 26
3 32
3 104
3 131
3 92
4 20
4 145
3 140
3 48
4 145
3 40
2 89
4 60
5 156
4 40
2 54
4 65
4 135
3 24
3 101
2 92
4 10
4 95
3 20
3 80
3 56
5 30
4 110
4 5
3 44
3 120
2 9
4 145
4 105
4 15
4 145
4 40
3 64
3 60
3 130
4 55
3 12
4 5
5 174
5 6
4 60
3 28
3 26
3 130
4 40
3 120
4 25
3 40
2 6
3 84
3 90
2 5
3 32
4 105
4 45
3 28
4 150
2 97
4 75
3 116
3 16
3 20
4 50
4 0
3 92
2 6
4 50
3 108
3 51
3 112
3 32
3 28
2 69
3 66
4 95
4 105
2 87
3 8
4 140
3 76
4 145
3 104
3 4
4 145
4 85
5 24
3 72
3 104
4 135
4 65
5 120
4 85
4 75
5 90
3 108
4 70
5 24
1 64
3 64
4 150
5 186
4 95
3 108
4 110
4 130
4 115
3 52
3 48
3 68
3 80
5 126
3 111
3 66
2 36
4 120
1 79
4 70
4 40
3 44
3 1
3 64
2 75
3 4
4 135
4 20
3 108
3 12
4 10
4 0
5 156
3 36
4 105
3 64
4 95
1 72
3 76
5 156
3 36
5 78
3 52
4 150
5 114
4 75
3 55
3 44
4 70
2 90
2 93
4 105
3 108
5 138
5 72
4 80
4 35
4 110
3 24
4 105
2 42
2 87
2 72
3 36
5 102
3 64
4 0
3 92
3 36
3 20
3 64
3 40
3 120
4 35
4 120
3 90
5 186
4 140
4 35
3 16
4 155
4 40
5 96
3 151
4 10
3 88
2 63
4 125
4 30
0 20
4 15
3 108
3 56
3 121
3 52
3 124
5 120
4 25
4 80
3 56
3 32
4 105
2 9
4 186
3 124
5 66
2 93
4 155
3 56
3 80
3 32
4 100
3 45
3 92
4 60
4 70
5 84
3 1
4 55
3 72
4 110
4 70
3 108
3 24
3 24
3 8
4 5
4 130
5 6
1 12
4 85
3 92
4 115
5 78
4 30
4 85
3 100
3 116
5 144
3 44
4 40
3 64
4 120
5 78
3 24
4 80
4 80
3 40
3 68
4 155
3 32
5 96
3 104
2 9
5 144
4 40
3 115
2 32
3 80
5 144
3 92
5 48
4 85
3 40
5 102
3 116
1 58
3 96
4 135
3 16
2 16
3 108
3 64
5 168
4 70
2 24
4 25
3 52
3 36
4 115
3 151
4 20
3 88
4 150
3 52
5 54
4 120
3 101
3 20
3 55
3 84
4 135
4 0
4 5
2 92
3 72
4 55
4 25
5 144
4 5
2 42
4 75
3 4
4 97
5 132
3 24
4 155
3 60
3 25
5 54
4 35
3 32
4 55
3 16
3 80
4 80
4 10
5 120
2 45
3 20
4 85
3 100
3 24
4 100
3 8
4 90
5 42
3 124
4 60
4 140
4 150
3 28
4 95
2 93
5 150
4 65
3 146
3 141
3 108
5 102
5 138
4 140
2 75
5 84
3 4
4 115
3 40
3 56
4 75
3 88
5 174
3 81
3 36
4 55
3 84
3 20
4 100
3 32
4 70
3 12
3 88
4 155
5 156
2 9
4 85
3 32
3 12
2 0
5 36
5 126
4 5
5 48
5 180
5 156
4 15
4 65
3 52
3 100
2 90
4 150
3 88
5 6
2 155
4 30
3 80
3 108
4 20
5 138
4 45
2 42
3 28
4 30
4 45
4 135
5 132
5 120
3 60
3 92
4 115
2 96
3 124
5 174
3 96
4 45
3 76
1 7
3 92
3 4
3 8
5 6
4 110
3 68
4 105
3 88
3 28
3 4
4 145
3 28
3 12
2 13
3 16
2 3
4 25
3 28
3 88
5 120
3 28
4 150
4 35
4 80
3 12
4 15
1 37
4 155
4 40
4 100
2 112
3 56
3 76
4 60
3 84
4 55
3 40
5 84
4 20
3 120
4 40
3 116
4 65
4 10
4 130
4 95
3 88
4 5
4 125
4 50
3 32
4 115
3 40
4 30
3 68
2 81

caso 2:
3 136
3 48
3 100
3 141
3 84
3 106
3 88
2 57
3 108
1 66
4 15
3 48
3 135
4 30
4 138
3 100
3 48
4 55
3 76
4 130
1 88
2 33
3 120
3 36
3 108
4 130
4 150
4 105
4 15
4 110
5 0
3 30
2 33
3 84
5 108
2 69
4 30
2 75
2 81
4 105
3 60
3 70
3 116
3 71
3 48
3 124
4 5
4 157
3 76
3 20
4 90
3 14
4 115
3 60
3 12
3 0
4 125
3 100
2 124
3 5
2 121
3 70
3 100
4 75
2 21
3 45
2 63
3 15
4 45
3 96
4 155
3 72
4 145
3 40
4 55
4 55
4 55
3 4
3 60
3 40
5 144
3 25
3 32
3 108
3 48
1 102
5 180
4 140
4 65
3 96
3 24
3 104
4 55
3 20
3 31
2 56
5 102
3 36
3 32
4 125
2 30
4 110
3 104
2 61
2 25
5 174
2 81
3 66
4 25
3 28
4 5
2 76
3 105
4 35
3 28
2 17
3 4
2 30
3 108
3 20
3 0
3 108
4 10
3 80
4 45
4 135
3 20
3 96
3 80
4 80
2 81
3 44
2 85
3 48
2 48
4 31
3 12
4 145
3 108
4 30
4 10
3 76
3 20
3 104
4 54
4 138
3 88
3 120
5 144
3 116
3 96
3 48
5 72
4 80
4 150
3 84
4 90
3 40
4 155
2 81
3 32
2 8
3 8
2 93
2 20
3 56
3 60
3 32
2 116
3 110
5 150
2 0
3 100
3 116
3 76
3 115
3 56
4 105
3 104
3 8
0 4
3 60
4 105
4 110
4 140
3 120
3 95
3 76
3 36
4 25
2 85
2 81
2 81
4 15
1 6
4 0
4 168
3 40
3 88
5 120
3 36
3 16
1 86
2 21
3 100
4 75
2 87
4 162
3 80
3 4
3 50
3 88
3 51
3 4
4 60
4 150
2 87
3 101
2 88
4 120
4 65
4 145
3 20
3 64
3 24
4 55
3 92
3 44
4 45
3 100
3 48
2 15
3 16
3 35
3 108
3 60
4 120
3 11
3 24
3 120
3 81
3 41
4 85
4 50
3 126
3 51
2 85
3 8
3 28
4 155
3 116
3 156
3 80
4 45
4 60
2 65
2 61
3 40
2 69
4 100
3 120
3 100
3 108
3 124
4 155
3 104
2 84
3 50
3 80
3 104
3 44
2 3
2 42
3 48
3 8
2 108
2 80
3 76
3 68
3 0
4 90
3 84
2 54
3 64
2 1
4 70
4 90
5 30
3 90
4 105
4 155
1 70
2 84
3 145
3 68
3 92
4 100
3 48
2 90
3 120
3 36
3 32
4 55
4 10
3 20
3 108
4 90
4 40
2 51
4 150
2 52
3 105
3 81
4 120
3 68
3 108
4 135
4 100
3 96
3 51
2 78
3 52
2 45
3 130
4 60
3 72
4 145
3 76
4 125
3 8
3 31
4 20
3 36
2 57
3 70
3 56
3 116
2 48
3 50
4 150
3 32
3 104
3 0
3 4
3 64
4 5
2 53
4 85
4 135
3 16
2 30
3 116
2 56
3 145
3 104
4 85
3 35
4 5
3 136
3 28
3 68
4 105
4 135
3 100
2 87
2 105
1 56
2 72
4 5
4 55
3 0
4 100
3 126
4 25
4 105
4 155
4 50
3 56
2 87
3 35
3 65
3 60
2 92
3 36
3 40
2 97
3 56
1 30
4 0
3 88
3 0
3 56
3 116
4 140
3 88
3 60
4 0
4 90
4 125
4 45
4 80
4 25
3 60
2 81
3 16
2 101
3 24
3 116
3 84
4 5
4 135
4 50
2 101
2 96
3 24
3 80
5 90
3 48
3 131
4 70
3 24
3 60
2 29
3 132
3 116
4 90
3 0
5 72
2 84
3 16
3 68
4 42
4 130
3 44
4 25
3 141
3 112
3 5
3 84
4 110
4 95
3 88
3 44
2 84
4 100
3 0
5 102
3 145
4 40
4 100
4 85
3 88
3 30
3 112
4 95
3 145
3 155
4 60
2 69
3 145
3 36
4 20
5 114
1 64
3 150
4 40
4 120
3 28
4 105
3 72
3 28
4 20
4 15
2 12
3 96
3 92
3 28
3 72
4 75
2 137
3 60
3 108
4 80
4 90
2 69
4 15
4 75
4 10
3 84
2 13
3 80
3 4
3 20
3 48
2 36
3 31
3 16
2 60
3 116
3 32
3 76
4 90
4 30
3 96
3 104
2 21
3 40
2 0
3 84
3 40
3 40
2 0
4 79
5 156
3 92
3 72
3 68
4 25
4 25
3 44
5 102
3 108
3 112
4 70
4 100
4 60
3 48
4 155
4 150
3 100
3 80
4 10
2 92
3 28
4 135
3 68
2 33
4 55
3 56
3 28
2 64
4 65
2 51
3 71
3 48
3 36
4 115
3 96
4 5
3 40
2 124
2 9
4 110
4 40
3 60
3 40
3 112
4 130
4 125
3 146
4 40
3 84
3 120
3 52
3 56
2 45
4 70
4 105
4 10
3 28
4 115
3 76
3 110
3 116
4 85
3 92
4 155
2 81
3 96
3 4
3 112
4 125
2 113
3 64
4 75
2 40
3 100
3 52
3 16
3 116
3 56
2 63
3 68
4 30
3 60
3 92
2 66
2 9
3 108
3 84
3 48
4 79
3 124
4 55
3 120
5 42
3 8
4 65
2 49
4 15
3 8
3 44
3 72
3 36
3 56
4 35
3 65
2 75
1 81
3 52
4 130
3 48
3 88
2 121
3 112
4 140
3 100
4 95
3 16
3 141
3 88
3 88
2 6
3 40
4 97
4 144
3 24
3 64
3 48
3 56
3 16
4 18
3 4
3 92
4 5
4 50
4 40
3 100
4 70
2 81
3 72
3 24
3 100
4 95
3 108
4 105
3 120
3 90
3 88
3 120
4 30
2 33
3 84
2 33
3 100
3 20
3 92
2 30
4 130
3 16
3 96
3 16
3 120
4 25
3 44
3 112
3 25
4 25
4 35
2 88
5 72
3 124
3 8
2 152
4 140
3 71
3 124
3 100
3 4
4 48
3 100
3 88
3 84
3 120
3 96
4 45
3 124
2 108
3 108
3 64
1 68
3 92
3 155
3 140
3 80
3 71
3 85
3 4
3 12
3 8
3 16
2 93
3 120
3 8
0 19
3 46
3 76
3 104
3 24
5 96
5 48
4 65
3 55
2 84
4 150
3 116
5 132
4 25
4 130
3 150
2 18
4 120
4 120
1 9
3 40
4 150
4 90
1 58
1 75
3 48
4 15
3 56
2 92
4 20
4 15
3 52
2 64
3 24
4 140
3 132
3 24
4 120
3 120
4 115
3 56
3 156
2 81
4 130
2 57
4 35
4 45
5 138
2 92
3 111
3 64
3 40
3 72
3 0
4 140
3 40
3 116
3 126
3 12
2 66
3 48
3 68
2 60
3 16
4 120
3 12
3 64
4 145
3 40
2 48
2 12
3 112
4 60
3 55
4 45
4 10
3 16
3 28
4 150
4 145
3 24
4 130
3 92
3 55
3 68
3 120
3 100
3 44
4 125
4 130
3 76
2 12
3 8
2 18
3 104
3 92
2 89
3 64
4 80
3 91
3 145
3 40
3 46
3 52
3 36
3 60
1 16
3 80
4 12
3 56
3 120
2 42
3 72
4 110
4 55
3 96
3 50
3 16
2 85
2 1
3 108
4 95
3 80
4 54
3 120
4 125
4 5
4 30
3 50
4 85
3 68
3 108
3 20
5 36
2 37
3 48
4 50
4 135
3 124
3 56
2 145
3 100
4 10
3 28
2 75
2 39
4 85
4 5
3 104
4 0
4 155
3 108
4 10
3 84
2 57
4 20
4 150
3 80
2 120
3 65
4 65
5 78
3 76
3 92
3 20
4 50
4 45
4 15
4 35
4 90
5 18
3 146
3 64
3 4
4 10
4 10
3 36
0 54
3 145
5 66
2 21
2 116
4 20
3 125
3 88
2 4
3 24
3 108
3 76
4 125
4 20
1 51
3 52
3 4
3 70
3 36
3 88
2 20
3 4
3 80
3 76
2 105
2 48
1 34
4 0
3 32
3 32
5 24
3 12
4 45
3 8
4 45
4 78
4 150
3 10
3 40
3 60
2 90
3 15
2 87
3 12
3 96
3 96
3 36
3 88
3 84
3 32
3 8
5 36
4 85
3 80
3 0
3 40
1 42
3 31
3 40
3 32
4 145
3 4
2 84
3 44
3 72
2 5
2 9
2 51
3 150
3 64
4 175
5 18
4 135
3 88
3 56
3 48
3 60
3 51
2 100
3 12
5 66
3 24
3 64
3 112
2 84
3 44
4 10
4 0
3 12
3 15
4 150
3 72
2 42
3 8
3 85
4 140
3 48
3 84
4 75
3 45
4 132
3 16
2 44
2 6
3 108
3 28
3 76
3 56
2 125
